Nitrogen,Phosporous,Potassium,temperature,humidity,ph,rainfall,Soil Type,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,Sandy,rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,Loamy,rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,Black,rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,Red,rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,Clayey,rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,Sandy,rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,Red,rice
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,Loamy,rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,Sandy,rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,Black,rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,Clayey,rice
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,Sandy,rice
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,Loamy,rice
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,Clayey,rice
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,Red,rice
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,Black,rice
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,Clayey,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,Sandy,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,Black,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,Loamy,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,Sandy,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,Loamy,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,Red,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,Black,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,Clayey,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,Sandy,rice
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,Red,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,Loamy,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,Black,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,Clayey,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,Red,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,Loamy,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,Clayey,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,Sandy,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,Loamy,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,Black,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,Loamy,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,Clayey,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,Red,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,Sandy,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,Clayey,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,Loamy,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,Red,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,Black,rice
